Mon Aug 20 17:27:59 2018    profile.stats

         328200 function calls (322435 primitive calls) in 0.546 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\ntpath.py:122(splitdrive)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\ntpath.py:200(split)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\ntpath.py:241(dirname)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\ntpath.py:472(normpath)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\ntpath.py:539(abspath)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\genericpath.py:48(getsize)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\_collections_abc.py:657(get)
        6    0.000    0.000    0.000    0.000 E:\python\python36\lib\_collections_abc.py:664(__contains__)
       74    0.000    0.000    0.000    0.000 E:\python\python36\lib\types.py:135(__get__)
       33    0.000    0.000    0.000    0.000 E:\python\python36\lib\functools.py:44(update_wrapper)
       31    0.000    0.000    0.000    0.000 E:\python\python36\lib\functools.py:74(wraps)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:119(filterwarnings)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:143(simplefilter)
        3    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:159(_add_filter)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\functools.py:479(decorating_function)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\functools.py:448(lru_cache)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\weakref.py:102(__init__)
      306    0.000    0.000    0.000    0.000 E:\python\python36\lib\collections\__init__.py:420(<genexpr>)
      306    0.000    0.000    0.000    0.000 E:\python\python36\lib\collections\__init__.py:422(<genexpr>)
       77    0.002    0.000    0.030    0.000 E:\python\python36\lib\collections\__init__.py:357(namedtuple)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\weakref.py:288(update)
        3    0.000    0.000    0.000    0.000 E:\python\python36\lib\datetime.py:1975(_create)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\datetime.py:1360(datetime)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\weakref.py:354(__init__)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:428(__init__)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:449(__enter__)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\warnings.py:468(__exit__)
        8    0.000    0.000    0.000    0.000 E:\python\python36\lib\contextlib.py:129(contextmanager)
        1    0.000    0.000    0.029    0.029 test.py:4(main)
        1    0.000    0.000    0.547    0.547 test.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\__init__.py:1(<module>)
       29    0.000    0.000    0.000    0.000 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:10(__init__)
        1    0.000    0.000    0.000    0.000 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:8(WifiCsi)
    10440    0.005    0.000    0.005    0.000 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:26(left_shift)
       29    0.011    0.000    0.016    0.001 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:36(read_bfee)
        1    0.005    0.005    0.025    0.025 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:93(read_file)
        1    0.000    0.000    0.152    0.152 D:\2018Autumn\USTC\WiFi\code\csi-tools-python\read_file\read_bf_file.py:1(<module>)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\site-packages\numpy\__init__.py:199(_sanity_check)
        1    0.000    0.000    0.151    0.151 E:\python\python36\lib\site-packages\numpy\__init__.py:106(<module>)
        9    0.000    0.000    0.000    0.000 E:\python\python36\lib\__future__.py:79(__init__)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\__future__.py:78(_Feature)
      120    0.000    0.000    0.001    0.000 E:\python\python36\lib\re.py:169(match)
       12    0.000    0.000    0.000    0.000 E:\python\python36\lib\re.py:179(search)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\re.py:184(sub)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\re.py:204(split)
